Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2020,"12        ",Female,16,Right-Handed,170.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2020,"12        ",,18,Right-Handed,170,24,168,1,Car,20,3,16,Soccer,950,950,900,900,300,150,24,"Same length",63,61,"Index finger",December,Summer,Yes,No,Meat,Coffee,Science,7,6,4,"Yes - other","In person",25,32,62,60,60,65,65,4,12,16,60,24,62,36,Some,"Graduate degree",Country,"Super strength",Happy,"Community leader or elder","Wildlife, animals"
USA,TX,2020,"12        ",Female,17,Right-Handed,176,25,173,1,Car,25,0.74,46,Other,374,203,239,201,487,631,25,"Same length",68,65,"Index finger",May,Spring,Yes,No,Pizza/Pasta,Water,Music,9,10,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",18,25,10,7,3,14,0,8,10,4,37,4,0,0,"A lot","Undergraduate degree",Other,Fly,Happy,"Musician or singer","International aid"
USA,TX,2020,"12        ",Female,17,Right-Handed,"158 c",10,45,2,Car,30,.333,32,Walking/Hiking,500,500,500,500,500,500,10,"Same length",20,20,"Ring finger",May,Summer,No,No,Meat,Water,Other,7,9,4,"Yes - other",Other,20,20,0,1,0,2,0,0,3,2,3,2,0,0,"Very little","Undergraduate degree",Other,Telepathy,Rich,Other,"International aid"
USA,TX,2020,"12        ",Male,17,Right-Handed,176.7,20.32,,2,Car,35,0.631,0.831,Basketball,,,,,,,,,,,,August,Summer,No,No,Meat,"Soft drink (caffeinated)",Art,11,9,4,"Yes - broadband connection","Text messaging",30,30,1,4,3,1,0,1,1,1,5,0,0,1,Some,"Some college","Rap/Hip hop",Telepathy,Happy,"Business person","Wildlife, animals"
USA,TX,2020,"12        ",Female,17,Right-Handed,171,,,2,Car,10,.361,36,Soccer,,,,,,,,,,,,July,Winter,No,No,Meat,Water,Science,8,10,3,,"Text messaging",75,60,0,8,50,7,0,0,14,5,7,0,16,0,"A lot","Graduate degree",Other,Telepathy,Happy,Other,"International aid"
USA,TX,2020,"12        ",Male,15,Right-Handed,"5,11",,,2,Car,10/20,,,"Football (American)",,,,,,,,"Same length",,,"Same length",February,Winter,Yes,No,"No favorite",Water,Other,?,?,3,,"Cell phone",?,?,,,,,,,,,,,,,,"Some college","Rap/Hip hop","Freeze time",Happy,"Sports person","Arts, culture, sports"
USA,TX,2020,"12        ",Male,17,Left-Handed,5/11,11,7,2,Car,5,0.348,71,Soccer,1000,1000,1000,1000,1000,1000,10,"Right foot",40,40,"Index finger",September,Summer,No,No,Other,Water,Other,8,8,8,"Yes - broadband connection","Cell phone",0,2,0,0,1,5,2,0,1,0,2,1,0,0,None,"High school",Other,Fly,Rich,"Business person",Environment
USA,TX,2020,"12        ",Female,17,Right-Handed,157,21.6,59,1,Car,15,0.606,52,None,500,200,200,400,750,1000,21.6,"Same length",80,60,"Index finger",February,Spring,Yes,No,Meat,"Soft drink (caffeinated)",Other,10,11,4,,"Text messaging",145,160,0,35,4,15,0,0,63,91,25,40,0,6,None,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Relative,"Wildlife, animals"
USA,TX,2020,"11        ",Female,17,Right-Handed,173,25,,2,Car,10,0.401,"39 ",Other,476,476,476,578,722,893,26,"Right foot",76,73,"Index finger",September,Spring,Yes,No,Seafood,Water,"Social studies",6,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,100,0,6,0,6,0,2,8,8,8,6,0,1,None,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,"Musician or singer","International aid"
USA,TX,2020,"12        ",Male,17,Right-Handed,180,28,192,2,Car,12,0.34,32,Swimming,600,600,650,650,800,1000,28,"Same length",84,90,"Ring finger",December,Winter,No,No,Meat,Water,Science,7,8,4,"Yes - broadband connection",Other,20,40,16,1,10,5,1,16,10,10,24+,5,0,0,"A lot",Other,"Rock and roll","Super strength",Happy,"Doctor or nurse",Religious
USA,TX,2020,"12        ",Female,17,Right-Handed,158.8,23,158.8,1,Car,15,0.376,43,Running/Jogging,471,690,1000,476,396,711,23,"Same length",62,62,"Same length",July,Fall,No,No,Pizza/Pasta,Water,English,8,8,7,"Yes - broadband connection","Text messaging",60,85,0,5,40,40,0,0,10,10,60,10,0,4,Some,"Graduate degree",Pop,Fly,Happy,Relative,"International aid"
USA,TX,2020,"12        ",Male,16,Right-Handed,5'10,10,5'9,1,Car,"8 ",0.3,54,Golf,1,1,1,1,1,1,10,"Same length",30,30,"Same length",April,Summer,No,No,Meat,Water,Other,8,8,4,"Yes - other","Text messaging",1,1,12,2,25,15,15,14,15,1,10,15,30,3,None,"Some college",Country,Fly,Happy,"Business person",Religious
USA,TX,2020,"12        ",Female,18,Right-Handed,180,20,60,1,Car,30,1,1,Soccer,10,10,10,10,10,10,62,"Left foot",25,20,"Ring finger",September,Summer,No,No,"Rice/Noodle dishes",Water,Other,7,90,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2020,"12        ",Male,18,Right-Handed,5'7,17,166,2,Car,5,.35,76,Dancing,1000,802,524,684,422,684,17,"Same length",76.2,76.2,"Same length",October,Summer,No,No,Seafood,Water,Music,7,5,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",234,458,0,18,21,12,1,20,37,28,23,0,0,9,"A lot","Undergraduate degree",Jazz,"Freeze time",Rich,Relative,Health
USA,TX,2020,"12        ",Female,18,Right-Handed,"5'3""",23,157.4,1,Car,10,0.506,32,Walking/Hiking,500,800,500,500,700,1000,22,"Right foot",7.62,7.55,"Index finger",September,Summer,No,No,"No favorite",Water,History,7-8,8-9,5,"Yes - other","Text messaging",200+,200+,8,5,14,7,9,0,10,10,8,6,40,5,Some,"Some college","Rap/Hip hop","Freeze time",Happy,"Business person","International aid"
USA,TX,2020,"12        ",Female,17,Right-Handed,162,20.3,154,2,Car,4,0.363,43,Other,1000,749,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2020,"12        ",Male,18,Left-Handed,200,60,60,1,Car,25,.825,17,"Football (American)",500,500,500,500,900,900,59,"Right foot",200,199,"Same length",December,Summer,No,No,Meat,Water,"Physical education",5,5,3,"Yes - other","Internet chat or instant messaging",100,100,2,1,2,2,2,2,2,2,2,2,0,2,"Very little","Graduate degree",Country,"Super strength",Happy,"Business person","Education/Youth development"
USA,TX,2020,"12        ",Female,17,Right-Handed,152.4,23,148,2,Car,15,.524,59,None,1000,567,1000,1000,556,567,19,"Left foot",70,70,"Same length",August,Spring,No,No,Fruit,Tea,Art,7,12,4,"Yes - dial-up connection","Text messaging",3,8,7,2,1,8,2,2,3,1,3,5,0,0,Some,"Graduate degree",Pop,Telepathy,Rich,"Musician or singer","International aid"
USA,TX,2020,"12        ",Female,19,Left-Handed,5'5,165,346,one,Car,"5 min",54.37,43,Basketball,781,781,781,781,155,193,165,"Same length",76.2,101.6,"Ring finger",November,Fall,Yes,No,Desserts,"Soft drink (caffeinated)",History,8,10,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100+,100+,15,4,10+,14+,15+,1,9+,10+,9+,1,0,12+,Some,"Graduate degree",Other,Telepathy,Healthy,"Doctor or nurse","Education/Youth development"
